UWI,Well,UBHI,Borehole,Well aliases,State,Jurisdiction,Offshore,Basin,Sub-basin,Latitude,Longitude,Datum type,Legislation,Title,Well operator,Borehole operator,Borehole reason,Class,Structure,Seismic location,Drilled by,Rigs,Spud/Kick off date,TD Date,Rig release date,Start depth (m),Driller's TD (m),Oil show,Gas show,Condensate show,Oil field,Discovery well,Status,Well head,Basic relevant date,Interp relevant date,Basic release date,Interp release date
ENO0810746,Wandoo B18,ENO0810746,Wandoo B18,,WA,Commonwealth,Y,Northern Carnarvon,Dampier Sub-basin,-20.1265116666667,116.435785,GDA94,OPGGSA,WA-14-L,Vermilion Oil & Gas Australia Pty Ltd,Vermilion Oil & Gas Australia Pty Ltd,development,,,,Valaris PLC,Valaris 107,6/15/2022,,8/22/2022,,,,,,,,completed,,8/22/2024,8/22/2027,,
ENO0810746,Wandoo B18,ENO0810758,Wandoo B18 ST1,,WA,Commonwealth,Y,Northern Carnarvon,Dampier Sub-basin,-20.1265116666667,116.435785,GDA94,OPGGSA,WA-14-L,Vermilion Oil & Gas Australia Pty Ltd,Vermilion Oil & Gas Australia Pty Ltd,development,,,,Valaris PLC,Valaris 107,8/10/2022,,8/22/2022,,,,,,,,completed,,8/22/2024,8/22/2027,,
ENO0810742,Wandoo B17,ENO0810753,Wandoo B17 ST1,,WA,Commonwealth,Y,Northern Carnarvon,Dampier Sub-basin,-20.1265116666667,116.435785,GDA94,OPGGSA,WA-14-L,Vermilion Oil & Gas Australia Pty Ltd,Vermilion Oil & Gas Australia Pty Ltd,development,,,,Valaris PLC,Valaris 107,7/20/2022,,8/6/2022,,,,,,,,completed,,8/6/2024,8/6/2027,,
ENO0810742,Wandoo B17,ENO0810742,Wandoo B17,,WA,Commonwealth,Y,Northern Carnarvon,Dampier Sub-basin,-20.1265116666667,116.435785,GDA94,OPGGSA,WA-14-L,Vermilion Oil & Gas Australia Pty Ltd,Vermilion Oil & Gas Australia Pty Ltd,development,,,,Valaris PLC,Valaris 107,5/20/2022,,8/6/2022,,,,,,,,completed,,8/6/2024,8/6/2027,,
ENO0810742,Wandoo B17,ENO0810755,Wandoo B17 ST2,,WA,Commonwealth,Y,Northern Carnarvon,Dampier Sub-basin,-20.1265116666667,116.435785,GDA94,OPGGSA,WA-14-L,Vermilion Oil & Gas Australia Pty Ltd,Vermilion Oil & Gas Australia Pty Ltd,development,,,,Valaris PLC,Valaris 107,7/26/2022,,8/6/2022,,,,,,,,completed,,8/6/2024,8/6/2027,,
ENO0810744,XNA 02,ENO0810744,XNA 02,,WA,Commonwealth,Y,Northern Carnarvon,Rankin Platform,-19.9636432638889,115.217431416667,GDA94,OPGGSA,WA-34-L,Woodside Burrup Pty Ltd,Woodside Burrup Pty Ltd,development,,,,Diamond Offshore,Ocean Apex,6/9/2022,,7/28/2022,,,,,,,,completed,,7/28/2024,7/28/2027,,
ENO0810738,Thylacine North 2,ENO0810738,Thylacine North 2,,TAS,Commonwealth,Y,Otway,,-39.20474,142.859279722222,GDA94,OPGGSA,T/L2,Beach Energy (Operations) Limited,Beach Energy (Operations) Limited,development,,,,Diamond Offshore,Ocean Onyx,4/29/2022,,7/11/2022,,,,,,,,completed,,7/11/2024,7/11/2027,,
ENO0815720,BDC 1D 04,ENO0815720,BDC 1D 04,,WA,Commonwealth,Y,Browse,Caswell Sub-basin,-13.9004786111111,123.273005,GDA94,OPGGSA,WA-50-L,INPEX Ichthys Pty Ltd,INPEX Ichthys Pty Ltd,development,,,,Maersk Drilling,Maersk Deliverer,9/28/2021,,6/21/2022,,,,,,,,completed,,6/21/2024,6/21/2027,,
ENO0815722,BDC 1D 02 ,ENO0815722,BDC 1D 02,,WA,Commonwealth,Y,Browse,Caswell Sub-basin,-13.9005558333333,123.273248055556,GDA94,OPGGSA,WA-50-L,INPEX Ichthys Pty Ltd,INPEX Ichthys Pty Ltd,development,,,,Maersk Drilling,Maersk Deliverer,10/16/2021,,6/16/2022,,,,,,,,completed,,6/16/2024,6/16/2027,,
ENO0810743,Sasanof 1,ENO0810743,Sasanof 1,,WA,Commonwealth,Y,Northern Carnarvon,Barrow Sub-basin,-20.4871005555556,113.544122777778,GDA94,OPGGSA,WA-519-P,Western Gas (519 P) Pty Ltd,Western Gas (519 P) Pty Ltd,exploration,,,,Valaris PLC,Valaris MS-1,5/26/2022,,6/12/2022,,,,,,,,plugged and abandoned ,,6/12/2024,6/12/2027,,
